frame_id,timestamp_sec,track_id,class,x1,y1,x2,y2,center_x,center_y,confidence,displacement_px,direction,speed_mps,status,alerts
16,0.5,7,motorcycle,1389,799,1445,889,1417,844,0.4293,5.0,Right,1.88,Moving,Normal
16,0.5,24,motorcycle,1681,833,1736,938,1708,885,0.4675,6.32,Up,2.37,Moving,Normal
16,0.5,11,car,1882,503,1916,537,1899,520,0.4738,3.16,Stationary,1.19,Stationary,Normal
17,0.533,1,car,1674,723,1768,798,1721,760,0.5989,3.0,Stationary,1.12,Stationary,Normal
17,0.533,2,car,1657,662,1748,725,1702,693,0.5053,3.61,Stationary,1.35,Stationary,Normal
17,0.533,7,motorcycle,1397,802,1448,885,1422,843,0.4417,5.1,Right,1.91,Moving,Normal
17,0.533,24,motorcycle,1684,826,1739,931,1711,878,0.6054,7.62,Up,2.86,Moving,Normal
17,0.533,11,car,1882,504,1915,537,1898,520,0.4603,1.0,Stationary,0.38,Stationary,Normal
17,0.533,23,motorcycle,1163,836,1245,940,1204,888,0.4717,21.4,Right,8.03,Moving,Normal
18,0.567,2,car,1659,661,1750,723,1704,692,0.5566,2.24,Stationary,0.84,Stationary,Normal
18,0.567,24,motorcycle,1686,818,1742,925,1714,871,0.5881,7.62,Up,2.86,Moving,Normal
18,0.567,11,car,1880,502,1916,536,1898,519,0.4285,1.0,Stationary,0.38,Stationary,Normal
18,0.567,23,motorcycle,1174,840,1248,935,1211,887,0.5292,7.07,Right,2.65,Moving,Normal
18,0.567,4,car,1623,550,1661,590,1642,570,0.4723,12.21,Up,4.58,Moving,Normal
19,0.6,24,motorcycle,1689,813,1744,917,1716,865,0.5468,6.32,Up,2.37,Moving,Normal
19,0.6,11,car,1879,500,1916,536,1897,518,0.4397,1.41,Stationary,0.53,Stationary,Normal
19,0.6,23,motorcycle,1186,847,1252,930,1219,888,0.434,8.06,Right,3.02,Moving,Normal
19,0.6,4,car,1623,547,1663,589,1643,568,0.523,2.24,Stationary,0.84,Stationary,Normal
19,0.6,1,car,1673,713,1772,791,1722,752,0.5945,8.06,Up,3.02,Moving,Normal
19,0.6,7,motorcycle,1406,791,1457,874,1431,832,0.4254,14.21,Up,5.33,Moving,Normal
20,0.633,24,motorcycle,1691,805,1745,909,1718,857,0.6208,8.25,Up,3.09,Moving,Normal
20,0.633,11,car,1880,504,1913,534,1896,519,0.42,1.41,Stationary,0.53,Stationary,Normal
20,0.633,23,motorcycle,1191,840,1258,924,1224,882,0.4347,7.81,Up,2.93,Moving,Normal
20,0.633,7,motorcycle,1409,778,1464,870,1436,824,0.4291,9.43,Up,3.54,Moving,Normal
20,0.633,2,car,1662,654,1756,719,1709,686,0.4861,7.81,Up,2.93,Moving,Normal
21,0.667,24,motorcycle,1693,799,1746,901,1719,850,0.6834,7.07,Up,2.65,Moving,Normal
21,0.667,23,motorcycle,1200,834,1265,917,1232,875,0.482,10.63,Right,3.99,Moving,Normal
21,0.667,1,car,1673,703,1776,784,1724,743,0.4206,9.22,Up,3.46,Moving,Normal
22,0.7,24,motorcycle,1695,796,1746,896,1720,846,0.6645,4.12,Up,1.55,Moving,Normal
22,0.7,23,motorcycle,1207,829,1272,912,1239,870,0.5161,8.6,Right,3.23,Moving,Normal
